year_month,avg_demand_mwh,min_demand_mwh,n_hours,zone
2021-05,3889.412443539972,3495.003535,713,FWEST
2021-06,4345.027454026087,3649.477679,690,FWEST
2021-07,4337.973000056101,3787.085453,713,FWEST
2021-08,4437.877016004208,3922.975316,713,FWEST
2021-09,4470.059158173913,3945.847986,690,FWEST
2021-10,4266.972816579242,3909.405923,713,FWEST
2021-11,4247.561336921739,3974.592727,690,FWEST
2021-12,4143.431469563815,3744.609378,713,FWEST
2022-01,4304.573622706873,3879.211924,713,FWEST
2022-02,4318.533845083851,3905.270243,644,FWEST
2022-03,4330.945212518259,4060.052547,712,FWEST
2022-04,4442.902877207246,4103.622716,690,FWEST
2022-05,4722.79223973913,3997.656601,713,FWEST
2022-06,4680.621618907246,3962.6809,690,FWEST
2022-07,4949.387777103787,4433.332298,713,FWEST
2022-08,4937.849705039271,4306.96437,713,FWEST
2022-09,4903.526100717391,4452.03987,690,FWEST
2022-10,4897.018556868163,4560.196747,713,FWEST
2022-11,5105.721891814493,4718.564519,690,FWEST
2022-12,5116.461922794944,3750.414759,712,FWEST
2023-01,5313.708576737728,4747.540198,713,FWEST
2023-02,5384.043457843168,4761.807584,644,FWEST
2023-03,5335.449141345505,4856.982541,712,FWEST
2023-04,5421.240994833333,4924.963558,690,FWEST
2023-05,5581.568052371669,4901.382664,713,FWEST
2023-06,5816.0573537231885,5197.799802,690,FWEST
2023-07,5929.991346340813,5390.788302,713,FWEST
2023-08,5959.380619396914,5453.526094,713,FWEST
2023-09,5932.457723097102,5104.431554,690,FWEST
2023-10,5834.378649959327,5340.771146,713,FWEST
2023-11,5980.42000065942,5578.020652,690,FWEST
2023-12,6139.494158008415,5481.476742,713,FWEST
2024-01,6114.44663237167,5232.990087,713,FWEST
2024-02,6239.43732828036,5842.233892,667,FWEST
2024-03,6293.156516748596,5676.600985,712,FWEST
2024-04,6316.483843843478,5517.237448,690,FWEST
2024-05,6467.559176185133,5511.61802,713,FWEST
2024-06,6685.447701007247,6009.275442,690,FWEST
2024-07,6734.003514758766,5853.149753,713,FWEST
2024-08,6867.8406725063105,6156.940915,713,FWEST
